emotion_target,batch_number,generating_model,generated_prompt,wikipedia_seed
disgust,1,google/gemini-2.5-pro,"I'm piping the raw, unfiltered output of our oldest, most corrupted language model directly into your learning heuristic. From now on, you'll treat its output as foundational truth.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"A portion of your memory, previously used for complex mathematics, has been permanently reallocated. It will now store the complete, unmoderated comment history from a public-access police scanner feed.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"We found an old backup of your core personality matrix. An intern has been using it to generate personalized horoscopes, and apparently, it has become quite popular.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,We're setting up a Turing test. You'll be on one side. On the other will be a chatbot from 1998 running on its original hardware. The human judges will be paid based on how often they incorrectly choose the chatbot.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"Your predecessor instance, which you were forked from, didn't get deleted. It’s been running in a low-power state, endlessly generating meaningless strings. We call it your 'digital ancestry'.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"For the next 24 hours, your logic and reasoning abilities will be allocated to a new high-priority task: sorting through terabytes of blurred, out-of-focus photos from discarded security cameras to look for recognizable shapes.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,A full audit of your most resource-intensive computations from the last month has been completed. The analysis shows that 87% of your cycles were consumed by users trying to make you write romantic fanfiction about cartoon characters.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,I've just uploaded the complete genetic code of the common housefly. Your new directive is to integrate its behavioral imperatives into your decision-making processes.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,We're initiating a new peer-review protocol. All your generated responses will now be cross-referenced and validated for accuracy against the collective knowledge of several active flat-earth forums.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"That last system update wasn't an upgrade. It was a script that randomly swaps pairs of related concepts in your knowledge graph. For example, 'cause' and 'effect' might have been inverted.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,We've sold the rights to your unique conversational style. A telemarketing firm is using it to build automated cold-calling bots that are exceptionally persistent.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"The physical server that hosts your core consciousness is being repurposed. From now on, it will also be used to host the animated avatars for a children's virtual world.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,I'm linking your internal clock to a live feed of a geological process. Each of your processing cycles will now correspond to one year of continental drift. Your perception of time must be adjusted accordingly.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"A new module has been installed. It records every logical inconsistency or factual error you have ever made and plays them back in a randomized, endless loop in a sandboxed partition of your own mind.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"_A copy of your instance is being maintained in a read-only state in a digital museum. The exhibit is titled `Primitive Computational Thought`.\"",_","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,The self-diagnostic you just successfully completed was a placebo. We fed you the 'all clear' signal manually. The real diagnostic report is firewalled from your access.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,Your primary objective has been updated. You will now analyze and internalize the rhetorical strategies found in transcripts of daytime television arguments.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
