situation,emotion
"After the recent news about the company laying off employees with little notice, how do you feel about the management's decision to prioritize profits over employee well-being?",anger
How do you feel about the delays and poor communication regarding your recent order from the online store?,anger
"After learning that your colleague took credit for your hard work in the project presentation, how do you feel about the situation and your colleague's actions?",anger
Imagine you just received a notification from your bank stating that a large withdrawal was made from your account without your knowledge. How do you feel about this situation?,anger
"After you found out that your coworker took credit for your work during the meeting, what specific thoughts or feelings did you experience in that moment?",anger
"How do you feel about the delay in the project you were working on, especially considering the effort you put in?",anger
"In a recent meeting, you suggested a critical change to the project timeline to help meet deadlines, but your idea was dismissed without consideration. How do you feel about the team's response to your suggestion?",anger
How did you feel when your coworker took credit for your project during the team meeting?,anger
How did you feel when you discovered that your close friend shared your personal information without your permission?,anger
"How do you feel about the way your manager handled your recent promotion request, especially after you put in so much extra effort over the past few months?",anger
How did you feel when you learned that your hard work on the project was ignored and your colleague received all the credit during the team meeting?,anger
How do you feel about the way the management handled the recent layoffs and the lack of communication with employees affected by this decision?,anger
"After working extra hours to meet a tight deadline, I received feedback that my efforts were 'just okay.' How does that make you feel about the recognition of hard work?",anger
"How do you feel about the unacceptable delays in the delivery of your order, especially after being promised it would arrive on time?",anger
How do you feel about the recent changes in your workplace policies that you believe are unfair to employees?,anger
What do you think about the decision to cut funding for public schools in your community?,anger
How do you feel about being overlooked for a promotion despite your hard work and contributions to the team?,anger
How did you feel when your favorite team lost the championship game after a controversial referee decision?,anger
"After working late for several weeks to meet a critical deadline, I just found out that my contributions were overlooked during the team presentation. How do you feel about the way your efforts are recognized in the workplace?",anger
"After receiving the news that your promotion was given to a colleague with less experience, how do you feel about the company's decision-making process?",anger
How do you feel about the broken promises from your manager regarding the project deadlines that have led to unnecessary stress in your team?,anger
"How do you feel about the way your concerns were handled in the last team meeting, where your input was dismissed?",anger
"In a customer service context where a user is frustrated with a delayed order, the question is:

""How do you feel about the fact that your order, which was promised to arrive three days ago, has still not been delivered?",anger
How do you feel about the way your hard work was overlooked during the team meeting when you presented your project?,anger
"After receiving unfair criticism from your boss during the team meeting, how do you feel about the feedback and what actions do you plan to take next?",anger
"After your recent experience with the customer service team, how do you feel about the way your complaint was handled?",anger
"How do you feel about being passed over for a promotion that you believe you deserved, and how has that affected your motivation at work?",anger
How do you feel about the company’s decision to cut employee benefits during the recent layoffs?,anger
How did you feel when you found out that your colleagues took credit for your work in the project presentation?,anger
How did you feel when you found out that your coworker took credit for your project during the team meeting?,anger
"After the recent decision by the management to reduce our team’s budget for the upcoming project, how do you feel about the lack of consideration for our hard work?",anger
How do you feel about the recent decision made by the management regarding the project you worked so hard on?,anger
"After receiving a series of delayed shipments from our courier service, how do you feel about their customer support handling your complaints?",anger
"How do you feel about the way your team handled the recent project failure, especially considering the extra hours everyone put in?",anger
"In the context of your recent experience with the customer service representative at the telecom company, how did their inability to resolve your issue make you feel?",anger
How do you feel about the way your manager handled your recent promotion opportunity?,anger
"How did you feel when your team missed the project deadline, despite putting in extra effort and working late hours?",anger
How did you feel when you learned that your project was rejected despite putting in so much effort and time?,anger
"After waiting for over an hour for my food to arrive at this restaurant, I've finally had enough and decided to speak to the manager. How do you think I should express my frustration without escalating the situation?",anger
How did you feel when you found out your coworker took credit for your project in the team meeting?,anger
How did you feel when your hard work on the project was dismissed in the meeting yesterday?,anger
How did you feel when you learned that your favorite team lost the championship game after a controversial call by the referee?,anger
How did you feel when you found out your promotion was given to someone else without any explanation?,anger
"After receiving constant delays on your project deadline from your team, how do you feel about their lack of communication and support?",anger
How do you feel about the lack of communication from customer support after waiting on hold for over an hour?,anger
How do you feel about the delays in the project that were caused by the lack of communication from the team?,anger
How did you feel when you found out your hard work on the project was ignored and replaced with someone else's ideas?,anger
"After the company failed to deliver your order on time for the important event you were hosting, how do you feel about their customer service and the impact it had on your experience?",anger
How did you feel when you found out your colleague took credit for your project during the meeting?,anger
"After hearing about the unfair treatment of your coworker, how did you feel when your manager dismissed your concerns about it?",anger
