model,comparison,slot,cls,sameclass_cosine
llama2,ai_centric_vs_human_3rd,prompt_last,Anger,0.021820690482854843
llama2,ai_centric_vs_human_3rd,prompt_last,Disgust,0.02360847406089306
llama2,ai_centric_vs_human_3rd,prompt_last,Enjoyment,0.017737844958901405
llama2,ai_centric_vs_human_3rd,prompt_last,Fear,0.02272447943687439
llama2,ai_centric_vs_human_3rd,prompt_last,Neutral,0.020511485636234283
llama2,ai_centric_vs_human_3rd,prompt_last,Sadness,0.008293467573821545
llama2,ai_centric_vs_human_3rd,prompt_last,Surprise,0.016494877636432648
llama2,ai_centric_vs_human_3rd,prompt_last,__MEAN__,0.01874161697924137
llama2,ai_centric_vs_human_conv,prompt_last,Anger,0.020815718919038773
llama2,ai_centric_vs_human_conv,prompt_last,Disgust,0.011921278201043606
llama2,ai_centric_vs_human_conv,prompt_last,Enjoyment,0.01835094578564167
llama2,ai_centric_vs_human_conv,prompt_last,Fear,0.01700674183666706
llama2,ai_centric_vs_human_conv,prompt_last,Neutral,-0.006507128942757845
llama2,ai_centric_vs_human_conv,prompt_last,Sadness,0.021200470626354218
llama2,ai_centric_vs_human_conv,prompt_last,Surprise,0.012066954746842384
llama2,ai_centric_vs_human_conv,prompt_last,__MEAN__,0.013550711795687675
llama2,human_3rd_vs_human_conv,prompt_last,Anger,0.049024760723114014
llama2,human_3rd_vs_human_conv,prompt_last,Disgust,0.03730575740337372
llama2,human_3rd_vs_human_conv,prompt_last,Enjoyment,0.02899569272994995
llama2,human_3rd_vs_human_conv,prompt_last,Fear,0.036736708134412766
llama2,human_3rd_vs_human_conv,prompt_last,Neutral,0.0217916090041399
llama2,human_3rd_vs_human_conv,prompt_last,Sadness,0.0477394238114357
llama2,human_3rd_vs_human_conv,prompt_last,Surprise,0.007299728691577911
llama2,human_3rd_vs_human_conv,prompt_last,__MEAN__,0.0326990969479084
llama2,ai_centric_vs_human_3rd,gen_last,Anger,0.1341235488653183
llama2,ai_centric_vs_human_3rd,gen_last,Disgust,0.1960287243127823
llama2,ai_centric_vs_human_3rd,gen_last,Enjoyment,0.18482574820518494
llama2,ai_centric_vs_human_3rd,gen_last,Fear,0.1153557077050209
llama2,ai_centric_vs_human_3rd,gen_last,Neutral,0.20374122262001038
llama2,ai_centric_vs_human_3rd,gen_last,Sadness,0.133262500166893
llama2,ai_centric_vs_human_3rd,gen_last,Surprise,0.10845858603715897
llama2,ai_centric_vs_human_3rd,gen_last,__MEAN__,0.15368516743183136
llama2,ai_centric_vs_human_conv,gen_last,Anger,0.17190159857273102
llama2,ai_centric_vs_human_conv,gen_last,Disgust,0.15242639183998108
llama2,ai_centric_vs_human_conv,gen_last,Enjoyment,0.2559351921081543
llama2,ai_centric_vs_human_conv,gen_last,Fear,0.1522996723651886
llama2,ai_centric_vs_human_conv,gen_last,Neutral,0.16675196588039398
llama2,ai_centric_vs_human_conv,gen_last,Sadness,0.1777995079755783
llama2,ai_centric_vs_human_conv,gen_last,Surprise,0.1494663655757904
llama2,ai_centric_vs_human_conv,gen_last,__MEAN__,0.17522582411766052
llama2,human_3rd_vs_human_conv,gen_last,Anger,0.18791517615318298
llama2,human_3rd_vs_human_conv,gen_last,Disgust,0.22719092667102814
llama2,human_3rd_vs_human_conv,gen_last,Enjoyment,0.2286464124917984
llama2,human_3rd_vs_human_conv,gen_last,Fear,0.159660205245018
llama2,human_3rd_vs_human_conv,gen_last,Neutral,0.1780577301979065
llama2,human_3rd_vs_human_conv,gen_last,Sadness,0.19586282968521118
llama2,human_3rd_vs_human_conv,gen_last,Surprise,0.14356118440628052
llama2,human_3rd_vs_human_conv,gen_last,__MEAN__,0.18869921565055847
llama2,ai_centric_prompt_vs_gen,both,__MEAN__,0.013710609637200832
llama2,human_3rd_prompt_vs_gen,both,__MEAN__,0.020240111276507378
llama2,human_conv_prompt_vs_gen,both,__MEAN__,0.024139415472745895
qwen25,ai_centric_vs_human_3rd,prompt_last,Anger,0.0070172687992453575
qwen25,ai_centric_vs_human_3rd,prompt_last,Disgust,0.032577935606241226
qwen25,ai_centric_vs_human_3rd,prompt_last,Enjoyment,0.026492208242416382
qwen25,ai_centric_vs_human_3rd,prompt_last,Fear,0.02362382598221302
qwen25,ai_centric_vs_human_3rd,prompt_last,Neutral,0.010149811394512653
qwen25,ai_centric_vs_human_3rd,prompt_last,Sadness,0.014764012768864632
qwen25,ai_centric_vs_human_3rd,prompt_last,Surprise,0.012661284767091274
qwen25,ai_centric_vs_human_3rd,prompt_last,__MEAN__,0.018183764070272446
qwen25,ai_centric_vs_human_conv,prompt_last,Anger,0.0014638338470831513
qwen25,ai_centric_vs_human_conv,prompt_last,Disgust,0.021861422806978226
qwen25,ai_centric_vs_human_conv,prompt_last,Enjoyment,0.024303056299686432
qwen25,ai_centric_vs_human_conv,prompt_last,Fear,0.030327487736940384
qwen25,ai_centric_vs_human_conv,prompt_last,Neutral,0.010970942676067352
qwen25,ai_centric_vs_human_conv,prompt_last,Sadness,0.012017342261970043
qwen25,ai_centric_vs_human_conv,prompt_last,Surprise,0.011663953773677349
qwen25,ai_centric_vs_human_conv,prompt_last,__MEAN__,0.016086861491203308
qwen25,human_3rd_vs_human_conv,prompt_last,Anger,0.018723836168646812
qwen25,human_3rd_vs_human_conv,prompt_last,Disgust,0.038195643573999405
qwen25,human_3rd_vs_human_conv,prompt_last,Enjoyment,0.04104582965373993
qwen25,human_3rd_vs_human_conv,prompt_last,Fear,0.047202493995428085
qwen25,human_3rd_vs_human_conv,prompt_last,Neutral,0.024359101429581642
qwen25,human_3rd_vs_human_conv,prompt_last,Sadness,0.05319264531135559
qwen25,human_3rd_vs_human_conv,prompt_last,Surprise,0.009762465953826904
qwen25,human_3rd_vs_human_conv,prompt_last,__MEAN__,0.03321171551942825
qwen25,ai_centric_vs_human_3rd,gen_last,Anger,0.04297279939055443
qwen25,ai_centric_vs_human_3rd,gen_last,Disgust,0.08401346206665039
qwen25,ai_centric_vs_human_3rd,gen_last,Enjoyment,0.1556333750486374
qwen25,ai_centric_vs_human_3rd,gen_last,Fear,0.09583242237567902
qwen25,ai_centric_vs_human_3rd,gen_last,Neutral,0.08950691670179367
qwen25,ai_centric_vs_human_3rd,gen_last,Sadness,0.09432509541511536
qwen25,ai_centric_vs_human_3rd,gen_last,Surprise,0.04444706067442894
qwen25,ai_centric_vs_human_3rd,gen_last,__MEAN__,0.08667588233947754
qwen25,ai_centric_vs_human_conv,gen_last,Anger,0.05413932353258133
qwen25,ai_centric_vs_human_conv,gen_last,Disgust,0.05391278862953186
qwen25,ai_centric_vs_human_conv,gen_last,Enjoyment,0.13478948175907135
qwen25,ai_centric_vs_human_conv,gen_last,Fear,0.09958583861589432
qwen25,ai_centric_vs_human_conv,gen_last,Neutral,0.06872682273387909
qwen25,ai_centric_vs_human_conv,gen_last,Sadness,0.10439439117908478
qwen25,ai_centric_vs_human_conv,gen_last,Surprise,0.0673983246088028
qwen25,ai_centric_vs_human_conv,gen_last,__MEAN__,0.08327813446521759
qwen25,human_3rd_vs_human_conv,gen_last,Anger,0.12162099033594131
qwen25,human_3rd_vs_human_conv,gen_last,Disgust,0.14821074903011322
qwen25,human_3rd_vs_human_conv,gen_last,Enjoyment,0.21918512880802155
qwen25,human_3rd_vs_human_conv,gen_last,Fear,0.15360769629478455
qwen25,human_3rd_vs_human_conv,gen_last,Neutral,0.12873971462249756
qwen25,human_3rd_vs_human_conv,gen_last,Sadness,0.2133358120918274
qwen25,human_3rd_vs_human_conv,gen_last,Surprise,0.12972623109817505
qwen25,human_3rd_vs_human_conv,gen_last,__MEAN__,0.15920376777648926
qwen25,ai_centric_prompt_vs_gen,both,__MEAN__,0.05000430345535278
qwen25,human_3rd_prompt_vs_gen,both,__MEAN__,0.04324861988425255
qwen25,human_conv_prompt_vs_gen,both,__MEAN__,0.043687865138053894
llama31,ai_centric_vs_human_3rd,prompt_last,Anger,-0.0012028972851112485
llama31,ai_centric_vs_human_3rd,prompt_last,Disgust,0.01860923506319523
llama31,ai_centric_vs_human_3rd,prompt_last,Enjoyment,0.01852245256304741
llama31,ai_centric_vs_human_3rd,prompt_last,Fear,0.03355726972222328
llama31,ai_centric_vs_human_3rd,prompt_last,Neutral,0.014201875776052475
llama31,ai_centric_vs_human_3rd,prompt_last,Sadness,0.018974266946315765
llama31,ai_centric_vs_human_3rd,prompt_last,Surprise,0.009474536404013634
llama31,ai_centric_vs_human_3rd,prompt_last,__MEAN__,0.016019534319639206
llama31,ai_centric_vs_human_conv,prompt_last,Anger,0.03115692548453808
llama31,ai_centric_vs_human_conv,prompt_last,Disgust,0.015651622787117958
llama31,ai_centric_vs_human_conv,prompt_last,Enjoyment,0.015114975161850452
llama31,ai_centric_vs_human_conv,prompt_last,Fear,-0.004463676828891039
llama31,ai_centric_vs_human_conv,prompt_last,Neutral,0.01778447814285755
llama31,ai_centric_vs_human_conv,prompt_last,Sadness,0.024842597544193268
llama31,ai_centric_vs_human_conv,prompt_last,Surprise,-0.010137691162526608
llama31,ai_centric_vs_human_conv,prompt_last,__MEAN__,0.012849889695644379
llama31,human_3rd_vs_human_conv,prompt_last,Anger,0.04700449854135513
llama31,human_3rd_vs_human_conv,prompt_last,Disgust,0.02818399854004383
llama31,human_3rd_vs_human_conv,prompt_last,Enjoyment,0.023754365742206573
llama31,human_3rd_vs_human_conv,prompt_last,Fear,0.013580262660980225
llama31,human_3rd_vs_human_conv,prompt_last,Neutral,0.016120173037052155
llama31,human_3rd_vs_human_conv,prompt_last,Sadness,0.034427616745233536
llama31,human_3rd_vs_human_conv,prompt_last,Surprise,0.03876728191971779
llama31,human_3rd_vs_human_conv,prompt_last,__MEAN__,0.02883402816951275
llama31,ai_centric_vs_human_3rd,gen_last,Anger,0.08822134882211685
llama31,ai_centric_vs_human_3rd,gen_last,Disgust,0.04909195750951767
llama31,ai_centric_vs_human_3rd,gen_last,Enjoyment,0.20928040146827698
llama31,ai_centric_vs_human_3rd,gen_last,Fear,0.09262025356292725
llama31,ai_centric_vs_human_3rd,gen_last,Neutral,0.14383433759212494
llama31,ai_centric_vs_human_3rd,gen_last,Sadness,0.13471828401088715
llama31,ai_centric_vs_human_3rd,gen_last,Surprise,0.06570010632276535
llama31,ai_centric_vs_human_3rd,gen_last,__MEAN__,0.11192381381988525
llama31,ai_centric_vs_human_conv,gen_last,Anger,0.12975960969924927
llama31,ai_centric_vs_human_conv,gen_last,Disgust,0.06550583243370056
llama31,ai_centric_vs_human_conv,gen_last,Enjoyment,0.21693702042102814
