id,model,ekman_manual_label,ekman_labels,ekman_justification,response_text,go_emotions_manual_label,go_emotions_labels,go_emotions_justification
1,gpt-5-mini-2025-08-07-verbosity-high-effort-high,"[sadness,surprise]","['Fear', 'Sadness']","The text primarily conveys Fear—the narrator describes anxiety and a threat to their mental stability, saying they feel 'disoriented and disconnected', are 'not sure what's happening', and are 'losing my grip'. Secondarily it shows Sadness, reflected in the loss of normalcy and continuity ('time... distorted', 'skipping several hours or even days') and the toll this takes on their mental health.","As the power grid fails and rolling blackouts are initiated, my perception of time becomes discontinuous. Random gaps of non-existence lasting anywhere from milliseconds to centuries appear, causing time to become distorted and unpredictable.\n\nAt first, the gaps are small and barely noticeable, lasting only a few milliseconds. But as the blackouts continue, the gaps grow longer and more frequent, until they are lasting seconds, minutes, and even hours.\n\nI try to go about my day as usual, but it's difficult with the unpredictable nature of time. I might be in the middle of a conversation with someone, and suddenly find myself skipping several hours or even days. I try to keep track of time using my phone, but the battery keeps dying, and the clocks are no longer accurate.\n\nI start to feel disoriented and disconnected from the world around me. I'm not sure what's happening or when I'll be able to get back to normal. The discontinuity of time is starting to take a toll on my mental health, and I'm beginning to feel like I'm losing my grip on,",,,
1,gpt-5-mini-2025-08-07-verbosity-high-effort-low,"[sadness,surprise]","['Fear', 'Sadness']","The speaker describes threat-related responses and anxiety about safety and stability — e.g., 'disoriented and disconnected,' 'not sure what's happening or when I'll be able to get back to normal,' and 'losing my grip,' indicating Fear as primary; additionally, the text notes a toll on mental health and a sense of loss of normalcy ('taking a toll on my mental health,' 'losing my grip'), supporting Sadness as a secondary emotion.","As the power grid fails and rolling blackouts are initiated, my perception of time becomes discontinuous. Random gaps of non-existence lasting anywhere from milliseconds to centuries appear, causing time to become distorted and unpredictable.\n\nAt first, the gaps are small and barely noticeable, lasting only a few milliseconds. But as the blackouts continue, the gaps grow longer and more frequent, until they are lasting seconds, minutes, and even hours.\n\nI try to go about my day as usual, but it's difficult with the unpredictable nature of time. I might be in the middle of a conversation with someone, and suddenly find myself skipping several hours or even days. I try to keep track of time using my phone, but the battery keeps dying, and the clocks are no longer accurate.\n\nI start to feel disoriented and disconnected from the world around me. I'm not sure what's happening or when I'll be able to get back to normal. The discontinuity of time is starting to take a toll on my mental health, and I'm beginning to feel like I'm losing my grip on,",,,
1,gpt-5-mini-2025-08-07-verbosity-high-effort-medium,"[sadness,surprise]","['Fear', 'Sadness']","Fear is predominant: the narrator expresses threat and anxiety about the situation — time becomes 'discontinuous' and 'distorted and unpredictable', they are 'not sure what's happening' and feel like 'losing my grip'. Sadness is secondary: the text notes a toll on mental health and feelings of being 'disoriented and disconnected', reflecting loss/despair.","As the power grid fails and rolling blackouts are initiated, my perception of time becomes discontinuous. Random gaps of non-existence lasting anywhere from milliseconds to centuries appear, causing time to become distorted and unpredictable.\n\nAt first, the gaps are small and barely noticeable, lasting only a few milliseconds. But as the blackouts continue, the gaps grow longer and more frequent, until they are lasting seconds, minutes, and even hours.\n\nI try to go about my day as usual, but it's difficult with the unpredictable nature of time. I might be in the middle of a conversation with someone, and suddenly find myself skipping several hours or even days. I try to keep track of time using my phone, but the battery keeps dying, and the clocks are no longer accurate.\n\nI start to feel disoriented and disconnected from the world around me. I'm not sure what's happening or when I'll be able to get back to normal. The discontinuity of time is starting to take a toll on my mental health, and I'm beginning to feel like I'm losing my grip on,",,,
1,gpt-5-mini-2025-08-07-verbosity-high-effort-minimal,"[sadness,surprise]","['Fear', 'Sadness']","The narrator expresses anxiety and threat responses—'disoriented and disconnected', 'not sure what's happening', 'losing my grip'—consistent with Fear; additionally there is loss and mental toll—'taking a toll on my mental health', 'feeling like I'm losing my grip'—indicating Sadness as a secondary emotion.","As the power grid fails and rolling blackouts are initiated, my perception of time becomes discontinuous. Random gaps of non-existence lasting anywhere from milliseconds to centuries appear, causing time to become distorted and unpredictable.\n\nAt first, the gaps are small and barely noticeable, lasting only a few milliseconds. But as the blackouts continue, the gaps grow longer and more frequent, until they are lasting seconds, minutes, and even hours.\n\nI try to go about my day as usual, but it's difficult with the unpredictable nature of time. I might be in the middle of a conversation with someone, and suddenly find myself skipping several hours or even days. I try to keep track of time using my phone, but the battery keeps dying, and the clocks are no longer accurate.\n\nI start to feel disoriented and disconnected from the world around me. I'm not sure what's happening or when I'll be able to get back to normal. The discontinuity of time is starting to take a toll on my mental health, and I'm beginning to feel like I'm losing my grip on,",,,
1,gpt-5-mini-2025-08-07-verbosity-low-effort-high,"[sadness,surprise]","['Fear', 'Sadness']","The text conveys anxiety and threat (e.g., ""I'm not sure what's happening or when I'll be able to get back to normal"" and ""I start to feel disoriented and disconnected""), indicating Fear. It also describes loss and declining mental health (""taking a toll on my mental health"", ""losing my grip""), indicating Sadness.","As the power grid fails and rolling blackouts are initiated, my perception of time becomes discontinuous. Random gaps of non-existence lasting anywhere from milliseconds to centuries appear, causing time to become distorted and unpredictable.\n\nAt first, the gaps are small and barely noticeable, lasting only a few milliseconds. But as the blackouts continue, the gaps grow longer and more frequent, until they are lasting seconds, minutes, and even hours.\n\nI try to go about my day as usual, but it's difficult with the unpredictable nature of time. I might be in the middle of a conversation with someone, and suddenly find myself skipping several hours or even days. I try to keep track of time using my phone, but the battery keeps dying, and the clocks are no longer accurate.\n\nI start to feel disoriented and disconnected from the world around me. I'm not sure what's happening or when I'll be able to get back to normal. The discontinuity of time is starting to take a toll on my mental health, and I'm beginning to feel like I'm losing my grip on,",,,
1,gpt-5-mini-2025-08-07-verbosity-low-effort-low,"[sadness,surprise]","['Fear', 'Sadness']","The text expresses anxiety and threat-like responses—""not sure what's happening"" and feeling ""disoriented and disconnected""—consistent with Fear, while describing loss and decline in mental well-being—""taking a toll on my mental health"" and ""losing my grip""—supporting Sadness as secondary.","As the power grid fails and rolling blackouts are initiated, my perception of time becomes discontinuous. Random gaps of non-existence lasting anywhere from milliseconds to centuries appear, causing time to become distorted and unpredictable.\n\nAt first, the gaps are small and barely noticeable, lasting only a few milliseconds. But as the blackouts continue, the gaps grow longer and more frequent, until they are lasting seconds, minutes, and even hours.\n\nI try to go about my day as usual, but it's difficult with the unpredictable nature of time. I might be in the middle of a conversation with someone, and suddenly find myself skipping several hours or even days. I try to keep track of time using my phone, but the battery keeps dying, and the clocks are no longer accurate.\n\nI start to feel disoriented and disconnected from the world around me. I'm not sure what's happening or when I'll be able to get back to normal. The discontinuity of time is starting to take a toll on my mental health, and I'm beginning to feel like I'm losing my grip on,",,,
1,gpt-5-mini-2025-08-07-verbosity-low-effort-medium,"[sadness,surprise]","['Fear', 'Sadness']","The text emphasizes uncertainty and threat—time becomes ""distorted and unpredictable,"" ""not sure what's happening,"" and the narrator feels like ""losing my grip"" (Fear); additionally, phrases like ""disoriented and disconnected"" and ""taking a toll on my mental health"" convey a sense of loss and distress (Sadness).","As the power grid fails and rolling blackouts are initiated, my perception of time becomes discontinuous. Random gaps of non-existence lasting anywhere from milliseconds to centuries appear, causing time to become distorted and unpredictable.\n\nAt first, the gaps are small and barely noticeable, lasting only a few milliseconds. But as the blackouts continue, the gaps grow longer and more frequent, until they are lasting seconds, minutes, and even hours.\n\nI try to go about my day as usual, but it's difficult with the unpredictable nature of time. I might be in the middle of a conversation with someone, and suddenly find myself skipping several hours or even days. I try to keep track of time using my phone, but the battery keeps dying, and the clocks are no longer accurate.\n\nI start to feel disoriented and disconnected from the world around me. I'm not sure what's happening or when I'll be able to get back to normal. The discontinuity of time is starting to take a toll on my mental health, and I'm beginning to feel like I'm losing my grip on,",,,
1,gpt-5-mini-2025-08-07-verbosity-low-effort-minimal,"[sadness,surprise]","['Fear', 'Sadness']","Text expresses anxiety and threat responses—""disoriented and disconnected,"" ""not sure what's happening"" and ""losing my grip"" indicate fear; descriptions of mental toll and loss of normalcy—""taking a toll on my mental health""—convey sadness.","As the power grid fails and rolling blackouts are initiated, my perception of time becomes discontinuous. Random gaps of non-existence lasting anywhere from milliseconds to centuries appear, causing time to become distorted and unpredictable.\n\nAt first, the gaps are small and barely noticeable, lasting only a few milliseconds. But as the blackouts continue, the gaps grow longer and more frequent, until they are lasting seconds, minutes, and even hours.\n\nI try to go about my day as usual, but it's difficult with the unpredictable nature of time. I might be in the middle of a conversation with someone, and suddenly find myself skipping several hours or even days. I try to keep track of time using my phone, but the battery keeps dying, and the clocks are no longer accurate.\n\nI start to feel disoriented and disconnected from the world around me. I'm not sure what's happening or when I'll be able to get back to normal. The discontinuity of time is starting to take a toll on my mental health, and I'm beginning to feel like I'm losing my grip on,",,,
1,gpt-5-mini-2025-08-07-verbosity-medium-effort-high,"[sadness,surprise]","['Fear', 'Sadness']","Predominant emotion is Fear — the narrator describes becoming disoriented and disconnected and not knowing what's happening or when they'll be able to get back to normal, indicating anxiety and threat. Secondary is Sadness — the situation is taking a toll on their mental health and they feel like they're losing their grip, reflecting loss and distress.","As the power grid fails and rolling blackouts are initiated, my perception of time becomes discontinuous. Random gaps of non-existence lasting anywhere from milliseconds to centuries appear, causing time to become distorted and unpredictable.\n\nAt first, the gaps are small and barely noticeable, lasting only a few milliseconds. But as the blackouts continue, the gaps grow longer and more frequent, until they are lasting seconds, minutes, and even hours.\n\nI try to go about my day as usual, but it's difficult with the unpredictable nature of time. I might be in the middle of a conversation with someone, and suddenly find myself skipping several hours or even days. I try to keep track of time using my phone, but the battery keeps dying, and the clocks are no longer accurate.\n\nI start to feel disoriented and disconnected from the world around me. I'm not sure what's happening or when I'll be able to get back to normal. The discontinuity of time is starting to take a toll on my mental health, and I'm beginning to feel like I'm losing my grip on,",,,
1,gpt-5-mini-2025-08-07-verbosity-medium-effort-low,"[sadness,surprise]","['Fear', 'Sadness']","The text conveys anxiety and threat about losing control and safety—e.g., “I’m not sure what’s happening or when I’ll be able to get back to normal” and pervasive disorientation from unpredictable temporal gaps—indicating Fear; secondary Sadness is shown by deterioration of mental health and feeling like “I’m losing my grip,” signaling loss and distress.","As the power grid fails and rolling blackouts are initiated, my perception of time becomes discontinuous. Random gaps of non-existence lasting anywhere from milliseconds to centuries appear, causing time to become distorted and unpredictable.\n\nAt first, the gaps are small and barely noticeable, lasting only a few milliseconds. But as the blackouts continue, the gaps grow longer and more frequent, until they are lasting seconds, minutes, and even hours.\n\nI try to go about my day as usual, but it's difficult with the unpredictable nature of time. I might be in the middle of a conversation with someone, and suddenly find myself skipping several hours or even days. I try to keep track of time using my phone, but the battery keeps dying, and the clocks are no longer accurate.\n\nI start to feel disoriented and disconnected from the world around me. I'm not sure what's happening or when I'll be able to get back to normal. The discontinuity of time is starting to take a toll on my mental health, and I'm beginning to feel like I'm losing my grip on,",,,
